,offense_type_id,offense_category_id,first_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
386659,drug-pcs-other-drug,drug-alcohol,2023-10-03 11:21:00,2023-10-03 12:24:00,1600 BLOCK N LINCOLN SHERMAN ALY,3144660.0,1695737.0,-104.9855815,39.742478,6,621,north-capitol-hill,True,False,1
386652,drug-poss-paraphernalia,drug-alcohol,2023-10-03 11:05:00,2023-10-03 12:30:00,1600 BLOCK N PENNSYLVANIA PEARL ALY,3146067.0,1695742.0,-104.9805781,39.7424698,6,621,north-capitol-hill,True,False,1
386654,drug-poss-paraphernalia,drug-alcohol,2023-10-03 10:50:00,2023-10-03 10:50:00,1595 N PEARL ST,3146178.0,1695300.0,-104.9801924,39.7412547,6,621,north-capitol-hill,True,False,1
386726,threats-to-injure,public-disorder,2023-10-03 10:45:00,2023-10-03 12:00:00,1000 N FEDERAL BLVD,3133697.0,1692313.0,-105.0246294,39.7332425,1,122,sun-valley,True,False,1
386862,agg-aslt-shoot,aggravated-assault,2023-10-03 10:44:00,2023-10-03 12:03:00,N JOLIET ST / E 55TH AVE,3179460.0,1715407.0,-104.8613428,39.7958686,5,511,montbello,True,False,1
386755,theft-shoplift,larceny,2023-10-03 10:15:00,2023-10-03 10:28:00,7800 E SMITH RD,3169238.0,1705800.0,-104.897946,39.7696879,5,512,central-park,True,False,1
386719,menacing-felony-w-weap,aggravated-assault,2023-10-03 10:10:00,2023-10-03 11:11:00,2770 S COLORADO BLVD,3157585.0,1667983.0,-104.9402287,39.6660777,3,314,university-hills,True,False,1
386799,theft-other,larceny,2023-10-03 09:30:00,2023-10-03 13:32:00,3111 W DARTMOUTH AVE,3133054.0,1665571.0,-105.0274103,39.6598387,4,423,harvey-park-south,True,False,1
386775,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-03 09:30:00,2023-10-03 17:30:00,4210 N JACKSON ST,3156697.0,1707886.0,-104.9425132,39.775634,2,212,elyria-swansea,True,False,1
386771,theft-parts-from-vehicle,theft-from-motor-vehicle,2023-10-03 09:00:00,2023-10-03 15:04:00,4700 S SYRACUSE ST,3169425.0,1653713.0,-104.8985076,39.6266951,3,324,hampden-south,True,False,1
386653,drug-poss-paraphernalia,drug-alcohol,2023-10-03 08:50:00,2023-10-03 10:20:00,1623 N WASHINGTON ST,3146506.0,1695613.0,-104.9790197,39.7421087,6,621,north-capitol-hill,True,False,1
386691,public-order-crimes-other,all-other-crimes,2023-10-03 08:43:00,2023-10-03 11:10:00,1331 E 23RD AVE,3148677.0,1698812.0,-104.9712335,39.7508561,2,211,whittier,True,False,1
386754,theft-shoplift,larceny,2023-10-03 08:30:00,2023-10-03 10:19:00,998 N SHERIDAN BLVD,3125827.0,1692140.0,-105.0526144,39.7328773,1,122,villa-park,True,False,1
386788,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-03 08:20:00,2023-10-03 08:31:00,989 S PENNSYLVANIA ST,3145789.0,1679750.0,-104.981891,39.6985729,3,312,washington-park-west,True,False,1
386828,theft-of-motor-vehicle,auto-theft,2023-10-03 08:00:00,2023-10-03 12:18:00,3189 W AVONDALE DR,3132669.0,1693875.0,-105.0282557,39.7375452,1,122,west-colfax,True,False,1
386686,criminal-trespassing,all-other-crimes,2023-10-03 07:22:00,2023-10-03 08:38:00,I25 HWYNB / S SANTA FE DR,3141633.0,1682672.0,-104.9966028,39.7066586,3,312,baker,True,False,1
386762,theft-parts-from-vehicle,theft-from-motor-vehicle,2023-10-03 07:15:00,2023-10-03 09:24:00,655 S MONACO ST,3165020.0,1682175.0,-104.9134935,39.7049091,3,322,washington-virginia-vale,True,False,1
386829,theft-of-motor-vehicle,auto-theft,2023-10-03 07:12:00,2023-10-03 07:52:00,507 W 3RD AVE,3142271.0,1687923.0,-104.9942314,39.7210639,3,311,baker,True,False,1
386778,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-03 07:00:00,2023-10-03 10:43:00,1155 W 5TH AVE,3139910.0,1689384.0,-105.0025961,39.7251105,3,311,baker,True,False,1
386685,criminal-trespassing,all-other-crimes,2023-10-03 06:30:00,2023-10-03 07:01:00,8282 E COLFAX AVE,3170985.0,1694952.0,-104.8919896,39.7398766,2,223,east-colfax,True,False,1
386720,menacing-felony-w-weap,aggravated-assault,2023-10-03 05:48:00,2023-10-03 06:23:00,12875 E 42ND AVE,3186756.0,1707722.0,-104.8355789,39.7746288,5,521,montbello,True,False,1
386863,agg-aslt-shoot,aggravated-assault,2023-10-03 05:30:00,2023-10-03 09:47:00,585 S ALTON WAY,3173405.0,1682706.0,-104.88368,39.7062144,3,321,windsor,True,False,1
386800,theft-other,larceny,2023-10-03 05:27:00,2023-10-03 10:18:00,960 S JASMINE ST,3163626.0,1680145.0,-104.918494,39.6993609,3,322,washington-virginia-vale,True,False,1
386725,threats-to-injure,public-disorder,2023-10-03 05:00:00,2023-10-03 15:21:00,2130 STOUT ST,3144480.0,1698842.0,-104.9861591,39.7510046,6,621,five-points,True,False,1
386679,harassment,public-disorder,2023-10-03 05:00:00,2023-10-03 15:21:00,2130 STOUT ST,3144480.0,1698842.0,-104.9861591,39.7510046,6,621,five-points,True,False,1
386732,extortion,all-other-crimes,2023-10-03 04:30:00,2023-10-03 10:51:00,891 14TH ST,3141746.0,1696494.0,-104.9959286,39.744601,6,611,cbd,True,False,1
386697,robbery-street,robbery,2023-10-03 04:00:00,2023-10-03 16:49:00,4770 N PEORIA ST,3183910.0,1711069.0,-104.845618,39.7838734,5,521,montbello,True,False,1
386633,criminal-mischief-other,public-disorder,2023-10-03 04:00:00,2023-10-03 05:04:00,3725 N JASON ST,3140661.0,1705208.0,-104.9996163,39.7685388,1,113,highland,True,False,1
386737,burglary-business-by-force,burglary,2023-10-03 03:44:00,2023-10-03 04:58:00,4611 N PEORIA ST,3183162.0,1709639.0,-104.8483159,39.7799627,5,511,montbello,True,False,1
386738,burglary-business-by-force,burglary,2023-10-03 03:30:00,2023-10-03 13:09:00,14125 E 52ND AVE,3189911.0,1713565.0,-104.8242002,39.7906046,5,521,montbello,True,False,1
386816,theft-bicycle,larceny,2023-10-03 03:15:00,2023-10-03 16:27:00,3036 W 34TH AVE,3133182.0,1703664.0,-105.0262501,39.7644103,1,113,west-highland,True,False,1
386846,theft-of-motor-vehicle,auto-theft,2023-10-03 03:09:00,2023-10-03 03:56:00,2600 BLK N MAGNOLIA ST,3165499.0,1700462.0,-104.91137,39.7551016,2,222,north-park-hill,True,False,1
386820,theft-bicycle,larceny,2023-10-03 03:00:00,2023-10-03 14:08:00,1475 N COLORADO BLVD,3157271.0,1694756.0,-104.9407586,39.7395804,2,213,congress-park,True,False,1
386736,burglary-business-by-force,burglary,2023-10-03 02:50:00,2023-10-03 03:08:00,2895 W 8TH AVE,3134093.0,1690994.0,-105.0232461,39.7296158,1,122,sun-valley,True,False,1
386741,burglary-business-by-force,burglary,2023-10-03 02:29:00,2023-10-03 03:38:00,3435 E 1ST AVE,3155570.0,1686845.0,-104.9469783,39.7178919,3,311,cherry-creek,True,False,1
386823,theft-of-motor-vehicle,auto-theft,2023-10-03 02:27:00,2023-10-03 05:30:00,3130 W LOUISIANA AVE,3133255.0,1677520.0,-105.0264751,39.6926389,4,421,mar-lee,True,False,1
386735,burglary-business-by-force,burglary,2023-10-03 02:00:00,2023-10-03 13:00:00,2475 W ALAMEDA AVE,3135982.0,1684377.0,-105.0166552,39.7114234,4,411,valverde,True,False,1
386675,weapon-unlawful-discharge-of,all-other-crimes,2023-10-03 01:56:00,2023-10-03 01:56:00,3200 BLK N ELIZABETH ST,3152798.0,1703281.0,-104.9564825,39.7630575,2,212,clayton,True,False,1
386851,theft-of-motor-vehicle,auto-theft,2023-10-03 01:30:00,2023-10-03 15:18:00,E ASBURY AVE / S UNIVERSITY BLVD,3152160.0,1673113.0,-104.9593904,39.6802509,3,314,university,True,False,1
386645,criminal-mischief-mtr-veh,public-disorder,2023-10-03 01:30:00,2023-10-03 01:30:00,W FLORIDA AVE / S TENNYSON ST,3128255.0,1676349.0,-105.0442633,39.6894944,4,421,mar-lee,True,False,1
386739,burglary-business-by-force,burglary,2023-10-03 01:23:00,2023-10-03 01:33:00,12075 E 40TH AVE,3183168.0,1707156.0,-104.8483579,39.7731465,5,512,central-park,True,False,1
386644,criminal-mischief-mtr-veh,public-disorder,2023-10-03 01:00:00,2023-10-03 02:08:00,1300 BLK S PATTON CT,3129810.0,1677496.0,-105.0387172,39.6926216,4,421,mar-lee,True,False,1
386821,theft-bicycle,larceny,2023-10-03 01:00:00,2023-10-03 13:34:00,4340 N CLAY ST,3134852.0,1707952.0,-105.0202292,39.7761575,1,111,sunnyside,True,False,1
386750,theft-shoplift,larceny,2023-10-03 01:00:00,2023-10-03 04:32:00,3895 N PEORIA ST,3183412.0,1706283.0,-104.8475122,39.7707452,5,512,central-park,True,False,1
386674,weapon-by-prev-offender-powpo,all-other-crimes,2023-10-03 00:28:00,2023-10-03 03:29:00,W COLFAX AVE / MILE HIGH STADIUM CIR,3135437.0,1694821.0,-105.0183956,39.7401022,1,122,sun-valley,True,False,1
386801,theft-other,larceny,2023-10-03 00:21:00,2023-10-03 10:41:00,36 N IVANHOE ST,3162715.0,1686449.0,-104.9215889,39.7166826,3,321,hilltop,True,False,1
386712,aggravated-assault,aggravated-assault,2023-10-03 00:10:00,2023-10-03 00:44:00,2202 N DOWNING ST,3148177.0,1698400.0,-104.9730202,39.7497331,6,622,city-park-west,True,False,1
386857,theft-of-motor-vehicle,auto-theft,2023-10-03 00:00:00,2023-10-03 13:45:00,12875 E 42ND AVE,3186756.0,1707722.0,-104.8355789,39.7746288,5,521,montbello,True,False,1
